file,line,type,library,icon_name,context,label
components\ButtonAnchor\ButtonAnchor.test.tsx,7,SVG_inline,Inline SVG,(inline),"const icon = <svg data-testid=""icon"" />;",
components\CustomSelect\Option.js,1,SVG_import,Local SVG file,select-checkmark.svg,,select checkmark
components\QRCode\CollapsedView.tsx,4,SVG_import,Local SVG file,download-app-store.svg,,download app store
components\QRCode\ExpandedView.tsx,3,SVG_import,Local SVG file,download-app-store.svg,,download app store
components\QRCode\QRCodeGenerator.tsx,5,SVG_import,Local SVG file,qr-logo.svg,,qr logo
components\ReferenceMediaPreview\ReferenceMediaPreview.tsx,11,SVG_import,Local SVG file,thumbnail-placeholder.svg,,thumbnail placeholder
components\UploadThumbnail\UploadThumbnail.tsx,2,ReactIcons,react-icons/bs,BsFiletypeMp4,,filetype mp4
components\UploadThumbnail\UploadThumbnail.tsx,2,ReactIcons,react-icons/bs,BsFiletypeXlsx,,filetype xlsx
components\UploadThumbnail\UploadThumbnail.tsx,2,ReactIcons,react-icons/bs,BsFiletypeXml,,filetype xml
components\UploadThumbnail\UploadThumbnail.tsx,3,ReactIcons,react-icons/fa6,FaFile,,file
components\UploadThumbnail\UploadThumbnail.tsx,3,ReactIcons,react-icons/fa6,FaFileCsv,,file csv
components\UploadThumbnail\UploadThumbnail.tsx,3,ReactIcons,react-icons/fa6,FaFilePdf,,file pdf
screens\AccessTokens\AccessTokenDisplay.tsx,202,ReactIcons,react-icons/go (Github Octicons),GoBackButton,<GoBackButton />,back button
screens\Account\AccountCompanyInfo\AccountCompanyInfoLogo\AccountCompanyInfoLogo.js,8,SVG_import,Local SVG file,company-info.svg,,company info
screens\Account\AccountWrapper\AccountWrapper.js,12,ReactIcons,react-icons/go (Github Octicons),GoBackButton,<GoBackButton />,back button
screens\Albums\ProjectCategory\ProjectCategory.old.js,1310,ReactIcons,react-icons/go (Github Octicons),GoBackButton,isDraftOrRemote || !isDroneImages ? <GoBackButton /> : <div /> //temporarily rendering a div to not mess up our flex jus,back button
screens\Albums\ProjectCategory\ProjectCategory.tsx,1158,ReactIcons,react-icons/go (Github Octicons),GoBackButton,isDraftOrRemote || !isDroneImages ? <GoBackButton /> : <div /> //temporarily rendering a div to not mess up our flex jus,back button
screens\Albums\ProjectCategory\ProjectCategoryMap\ProjectCategoryMap.tsx,20,SVG_import,Local SVG file,thumbnail-placeholder.svg,,thumbnail placeholder
screens\Albums\ProjectCategory\ThumbnailList\Thumbnail.tsx,15,SVG_import,Local SVG file,thumbnail-placeholder.svg,,thumbnail placeholder
screens\ChecklistTemplate\Editor\layout\Toolbar.tsx,177,ReactIcons,react-icons/go (Github Octicons),GoBackButton,<GoBackButton hasUnsavedChanges={hasUnsavedChanges} />,back button
screens\ChecklistTemplate\Manager\components\StyledBackButton.tsx,8,ReactIcons,react-icons/go (Github Octicons),GoBackButton,<GoBackButton />,back button
screens\DesignServices\DesignServicesQueue\DesignServicesQueue.tsx,200,ReactIcons,react-icons/go (Github Octicons),GoBackButton,<GoBackButton />,back button
screens\DesignServices\DesignServicesQueue\CreditsCompanyQueue\CreditHistoryAdminQueue.tsx,93,ReactIcons,react-icons/go (Github Octicons),GoBackButton,<GoBackButton />,back button
screens\DesignServices\DesignServicesQueue\DSCompanyQueue\DesignServicesCompanyQueue.tsx,143,ReactIcons,react-icons/go (Github Octicons),GoBackButton,<GoBackButton />,back button
screens\DesignServices\OrderDesign\DesignSelection\ActionButtons\ActionButtons.tsx,37,ReactIcons,react-icons/go (Github Octicons),GoBackIcon,const GoBack = ({ ...props }) => <GoBackIcon {...props} />;,back
