file,line,type,library,icon_name,context,label
components\ProposalLandscapeView.tsx,652,SVG_inline,Inline SVG,(inline),"<svg viewBox={`0 0 ${chartWidth} ${chartHeight}`} className=""w-full h-full overflow-visible"">",
components\ProposalView.tsx,621,SVG_inline,Inline SVG,(inline),"<svg viewBox={`0 0 ${chartWidth} ${chartHeight}`} className=""w-full h-full overflow-visible"">",
services\ai\prompts\htmlPromptBuilder.ts,137,SVG_inline,Inline SVG,(inline),"<svg viewBox=""0 0 760 200"" style=""width:100%;height:auto;display:block;font-family:Arial,sans-serif"">",
