file,line,type,library,icon_name,context,label
scripts\components\Toolbar\ToggleRoofSegmentDimensions\components\DimIcon.ts,2,SVG_import,Local SVG file,dimensions-icon.svg,,dimensions icon
scripts\components\Toolbar\ToggleSceneLock\components\LockClosedIcon.ts,1,SVG_import,Local SVG file,lockClosedIcon.svg,,lock closed
scripts\components\Toolbar\ToggleSceneLock\components\LockOpenIcon.ts,1,SVG_import,Local SVG file,lockOpenIcon.svg,,lock open
scripts\components\Toolbar\ToggleSimulateShade\styled-components.ts,2,SVG_import,Local SVG file,shadeToolIcon.svg,,shade tool
scripts\components\Toolbar\ToggleSimulateShade\AnimationControls\styled-components.ts,2,ReactIcons,react-icons/fa6,FaRegCirclePlay,,reg circle play
scripts\components\Toolbar\ToggleSimulateShade\AnimationControls\styled-components.ts,3,ReactIcons,react-icons/fa6,FaRegCirclePause,,reg circle pause
scripts\components\Toolbar\ToggleSimulateShade\AnimationControls\styled-components.ts,4,ReactIcons,react-icons/md,MdRestartAlt,,restart alt
scripts\components\Toolbar\ToggleXRayMode\components\XRayModeIcon.ts,1,SVG_import,Local SVG file,xraymodeIcon.svg,,xraymode
scripts\components\Toolbar\UndoRedoButtons\styled-components.ts,1,SVG_import,Local SVG file,undo.svg,,undo
scripts\components\Toolbar\UndoRedoButtons\styled-components.ts,2,SVG_import,Local SVG file,redo.svg,,redo
scripts\components\ToolbarLower\ToolbarLower.tsx,81,FontAwesome,FA component (string prop),fa-map-o,"<FA icon=""fa-map-o"" style={{ marginRight: 5 }} />",map o
scripts\components\ToolbarSimpleDesign\ChevronRight\components\ChevronRightIcon.ts,2,SVG_import,Local SVG file,chevronRight.svg,,chevron right
scripts\components\ToolbarSimpleDesign\DesignDropdown\components\DeleteIcon.ts,2,SVG_import,Local SVG file,trash.svg,,trash
scripts\components\ToolbarSimpleDesign\DesignDropdown\components\DuplicateIcon.ts,2,SVG_import,Local SVG file,copy.svg,,copy
scripts\components\ToolbarSimpleDesign\DesignDropdown\components\EditIcon.ts,2,SVG_import,Local SVG file,edit1.svg,,edit1
scripts\components\ToolbarSimpleDesign\DownloadShadeReport\components\ItemIcon.tsx,2,ReactIcons,react-icons/md,MdOutlineFileDownload,,outline file download
scripts\components\ToolbarSimpleDesign\DownloadShadeReport\components\styled-components.ts,2,ReactIcons,react-icons/md,MdOutlineFileDownload,,outline file download
scripts\components\ToolbarSimpleDesign\HelpButton\components\HelpIcon.ts,1,SVG_import,Local SVG file,help.svg,,help
scripts\components\ToolbarSimpleDesign\ToggleIrradiance\IrradianceReadout\InfoIcon.tsx,11,ReactIcons,react-icons/fi (Feather),FiInfoIcon,<FiInfoIcon />,info
scripts\components\ToolbarSimpleDesign\ToggleIrradiance\IrradianceReadout\styled-components.ts,1,ReactIcons,react-icons/fi,FiInfo,,info
scripts\components\ToolbarSimpleDesign\ToggleMapProviders\components\MapIcon.ts,3,SVG_import,Local SVG file,map.svg,,map
scripts\components\ToolbarSimpleDesign\Visibility\ToggleVisibility.tsx,5,SVG_import,Local SVG file,visibility-on.svg,,visibility on
scripts\components\ToolbarSimpleDesign\Visibility\hooks\useVisibilityItemGroups.tsx,3,SVG_import,Local SVG file,annotations-on.svg,,annotations on
scripts\components\ToolbarSimpleDesign\Visibility\hooks\useVisibilityItemGroups.tsx,4,SVG_import,Local SVG file,annotations-off.svg,,annotations off
scripts\components\ToolbarSimpleDesign\Visibility\hooks\useVisibilityItemGroups.tsx,5,SVG_import,Local SVG file,outlines-on.svg,,outlines on
scripts\components\ToolbarSimpleDesign\Visibility\hooks\useVisibilityItemGroups.tsx,6,SVG_import,Local SVG file,outlines-off.svg,,outlines off
scripts\components\ToolbarSimpleDesign\Visibility\hooks\useVisibilityItemGroups.tsx,7,SVG_import,Local SVG file,keepouts-on.svg,,keepouts on
scripts\components\ToolbarSimpleDesign\Visibility\hooks\useVisibilityItemGroups.tsx,8,SVG_import,Local SVG file,keepouts-off.svg,,keepouts off
scripts\components\ViewportOverlay\FullOverlay\CurrentDesignInfo\CopySystemDetailsButton.tsx,7,ReactIcons,react-icons/md,MdContentCopy as CopyIcon,,content copy as copy
scripts\components\ViewportOverlay\FullOverlay\CurrentDesignInfo\CopySystemDetailsButton.tsx,7,ReactIcons,react-icons/md,MdCheck as CheckIcon,,check as check
